supplier_id,material_id,orders,spend,qty_ordered,qty_received,qty_short,qty_rejected,short_loss,reject_loss,premium_gap,premium_pct,late_orders,mean_days_late,median_price,benchmark,return_loss,qty_returned,short_delivery_pct,late_orders_pct,quality_rejection_pct,price_premium_pct,short_delivery_adj,short_delivery_panel,late_delivery_adj,late_delivery_panel,quality_rejection_adj,quality_rejection_panel,price_premium_adj,price_premium_panel,score_short_delivery,score_late_delivery,score_quality_rejection,score_price_premium,score,flags,leakage,leakage_per_lakh,low_confidence
VS01,Angles & Channels,8,19393408.88,236.42,234.71,1.7099999999999977,0.0,144307.99360000045,0.0,-85002.03509696056,0.012615415404284215,8,1.875,87952.125,84018.2475,40370.73625299787,0.4590080825562529,0.723289061839099,100.0,0.1955639225240735,1.2615415404284216,0.6440974879790377,0.7113026493123651,1.747020585048754,1.7416666666666667,0.4008264739136772,1.9498939866506468,-0.9573871474536365,4.309025190384596,91.74989841011504,93.53806085829662,100.0,100.0,95.90948473760866,[],184678.72985299834,952.2757499505593,False
VS01,CR Sheets,11,28220056.7,325.18,323.34,1.8400000000000045,0.0,161075.0950000001,0.0,2439907.33081088,0.13519636599709844,11,2.090909090909091,96957.64,80252.01000000001,31754.14024779045,0.32750529249464455,0.5658404575927193,100.0,0.10128820823116366,13.519636599709845,0.5506999926584131,0.7884562788332824,1.9194542253521125,1.6705426356589148,0.297525191951751,1.1175594422605428,7.886102334780228,2.9946127341416036,97.97639809815668,87.79027284818466,100.0,0.0,76.34048764149317,[],192829.23524779052,683.3056265538635,False
VS01,ERW Pipes,13,37077158.48,432.36,430.49,1.8699999999999948,0.0,167961.83019999982,0.0,319852.54915038636,-0.023395222930753808,9,1.5384615384615385,84318.07,90107.3,17636.672782788926,0.20916836429947847,0.43250994541585597,69.23076923076923,0.04858843743164265,-2.339522293075381,0.4560880077456014,0.8606405037702413,1.5395148669796557,1.8619246861924685,0.23766013707203162,1.0307966997896014,-2.9417863916835887,1.2392765482212764,100.0,100.0,100.0,100.0,100.0,[],185598.50298278875,500.57369709953235,False
VS01,Fasteners & Fittings,5,12635573.57,153.41,152.7,0.709999999999992,0.0,61154.297499999986,0.0,-905173.379769476,-0.09654126761757797,3,1.8,75135.63,92401.58,359566.60207351524,4.785567141361764,0.462812072224752,60.0,3.1339666937536115,-9.654126761757798,0.4901015210138457,0.6608902615277615,1.67112676056338,1.9425287356321839,1.9316066249453272,0.9250530699946431,-7.080899904911364,1.8480269950795833,100.0,96.06785500780907,0.0,100.0,74.01696375195226,"[""quality_rejection""]",420720.8995735152,3329.654148604789,False
VS01,GI Pipes,11,19940515.479999997,220.79,219.98,0.8099999999999961,0.0,71319.00469999952,0.0,2204368.5005893256,0.06566746244480742,7,1.2727272727272727,84012.8,84462.44,36344.97558945128,0.43261235894353334,0.36686444132433355,63.63636363636363,0.1966598595070158,6.5667462444807425,0.4139039814738979,0.8113484045650325,1.3569542253521125,1.7452471482889733,0.3630932022038993,1.0856301861243616,3.1059902155602197,4.14215938962826,100.0,100.0,100.0,49.80248739108365,89.96049747821672,[],107663.9802894508,539.9257626887127,False
VS01,GI Sheets,7,15641567.96,190.85,189.85000000000002,0.9999999999999893,0.0,82624.04999999935,0.0,313632.2839267132,0.06910300474031142,4,0.8571428571428571,83770.24,80201.51000000001,40552.42861418198,0.48409111176214825,0.523971705527896,57.142857142857146,0.2549861004804573,6.910300474031142,0.521229732309164,0.823990501850067,1.1426056338028168,1.9690265486725664,0.4525946236707013,1.3393373707505076,2.1528115064911124,4.348862850517769,99.94108212143995,100.0,98.34348645941215,65.68879920890211,92.70595609306544,[],123176.47861418134,787.4944438382336,False
VS01,GI Wire,9,14545525.4,194.3,193.12,1.1800000000000015,0.0,85596.15770000027,0.0,-1783039.6406603698,-0.018825352971723837,6,1.2222222222222223,86830.29,85585.15,31076.35547504746,0.3578976354339881,0.6073082861554304,66.66666666666667,0.18532396201014298,-1.8825352971723837,0.5751949588866836,0.7928518581395263,1.3365191146881286,1.9775280898876404,0.3795820313411787,0.9750811560699817,-2.8200844939197216,3.049089196998296,96.34340034960532,100.0,100.0,100.0,98.90302010488159,[],116672.51317504773,802.1196207532505,False
VS01,HR Coils,6,11855525.129999999,149.68,149.08,0.599999999999993,0.0,43440.16560000001,0.0,184207.35203471626,0.07397249516651867,6,2.1666666666666665,83798.29,80489.33499999999,39520.8993536179,0.4716194012266587,0.40085515766969065,100.0,0.3163532339862212,7.3972495166518675,0.4538259813666219,0.7659538489832981,1.8828425096030728,1.9323843416370108,0.5040320167820493,1.0275266204297402,1.9859210781442322,6.042133537357304,100.0,89.01066337315265,94.91432691865562,68.47030634801679,89.67530884255541,[],82961.0649536179,699.7671047374171,False
VS01,Hex Bars,6,18676226.18,224.51,223.52,0.990000000000002,0.0,86108.01819999982,0.0,-1519840.4646550287,-0.034027911299796015,4,1.6666666666666667,90110.88500000001,88272.435,332746.6236163103,3.692635175165689,0.44096031357177945,66.66666666666667,1.652037927328959,-3.4027911299796014,0.4757015209495794,0.750579496975409,1.6101152368758,1.728744939271255,1.2325873040599065,0.6783321114707905,-3.905010183654751,2.0995196224827377,100.0,98.10157246406173,46.34397443346513,100.0,86.11138672438172,[],418854.6418163101,2242.7156202726505,False
VS01,MS Flats,7,10756250.4,131.29000000000002,130.8,0.4900000000000002,0.0,41893.184499999814,0.0,71105.42021943734,0.044819576121572835,5,1.2857142857142858,90368.64,83216.555,49623.56739472522,0.5491237601310058,0.3732195902201235,71.42857142857143,0.41981938847936223,4.4819576121572835,0.4332909983796302,0.835588215786445,1.3926056338028168,2.006644518272425,0.5487473750033959,1.025137757196309,0.736278170398028,4.231608669949848,100.0,100.0,91.9333030372325,89.29768814378684,95.8428633880655,[],91516.75189472504,850.823925544956,False
VS01,MS Pipes,6,14188211.79,198.62,197.51999999999998,1.1000000000000085,0.0,69233.25670000014,0.0,-1053903.5755843394,-0.10075787740675803,2,0.6666666666666666,61763.47,78417.25,27506.150554358832,0.4453465868151325,0.5538213674353079,33.333333333333336,0.22546911037623155,-10.075787740675803,0.5372620957842312,0.7744255024799029,1.0646606914212546,1.9185185185185185,0.45445885844932765,1.2470140641608212,-7.54482651676177,6.597865126401695,98.8722578897688,100.0,98.21920414083706,100.0,99.2164784021399,[],96739.40725435897,681.8294559328606,False
VS01,MS Rods,6,6669457.81,92.86999999999999,92.59,0.2799999999999998,0.0,21209.170299999474,0.0,-1569938.4732158754,-0.21784802663527367,3,0.8333333333333334,66937.295,87069.8375,27327.69533953697,0.4082581368060506,0.3014967158393451,50.0,0.44093113382228166,-21.784802663527365,0.39963046764097887,0.788919666446106,1.1555697823303457,1.8925081433224755,0.5719835985108095,1.1907554122490775,-13.93156192922626,4.23647940347009,100.0,100.0,90.38422147007161,100.0,97.5960553675179,[],48536.865639536445,727.7482971218683,False
VS01,MS Sheets,10,20202846.47,253.5,252.03,1.4699999999999909,0.0,108726.97689999948,0.0,-558726.0686068087,-0.03154151680531152,6,1.4,74049.91,81743.37,280540.53148763714,3.7885330513924615,0.5798816568047301,60.0,1.503207178269437,-3.1541516805311516,0.5590514278041333,0.8023629291376927,1.4474178403755866,1.8790035587188612,1.2452203042253056,1.0203835613807282,-3.605325469709078,3.3331616484574305,97.41963575510867,100.0,45.50177442243852,100.0,85.60133433214223,[],389267.5083876366,1926.7953600779736,False
VS01,SS Pipes,4,5074442.8100000005,74.97,74.53,0.44000000000000505,0.0,23960.98659999993,0.0,-520327.67437522055,-0.04757030677756312,3,1.25,72270.5,79741.29000000001,18909.209831993812,0.2616449288713073,0.5869014272375684,75.0,0.351059880412327,-4.757030677756312,0.5482845064405524,0.7141696463660475,1.4123630672926446,1.8642857142857143,0.5611635891482804,0.9358124398726226,-4.6184986612611,5.667625820953892,98.13743051268072,100.0,91.10555542757353,100.0,97.2176180106976,[],42870.19643199374,844.8256889901522,True
VS01,SS Sheets,10,22877792.65,265.21,263.95,1.2599999999999945,0.0,111287.4176999999,0.0,1694030.085329382,0.04608544506922022,8,2.1,82451.54500000001,84302.7,35789.09664024073,0.4340621711847937,0.4750952075713565,80.0,0.16444863465989532,4.608544506922022,0.48919379498188414,0.7465648567993546,1.9140845070422534,1.870503597122302,0.3527146084856112,1.2767407456151725,1.5698053219263715,4.2377431374054195,100.0,87.9692634585133,100.0,75.4055689516478,92.07342965495789,[],147076.51434024062,642.8789551086373,False
VS01,Spring Steel,4,9337349.21,145.4,144.47,0.9299999999999962,0.0,61601.04430000018,0.0,-2466726.742801599,-0.1872067247392435,2,1.0,66060.05,84791.26,603482.2260258541,9.135358299393568,0.6396148555708364,50.0,6.323360074336241,-18.72067247392435,0.5717126968108937,0.804445441279379,1.3012519561815337,1.7963636363636364,3.2155192308922422,0.7936961818042867,-10.824561681780228,4.334171972882552,96.57555115465797,100.0,0.0,100.0,73.97266534639739,"[""quality_rejection""]",665083.2703258543,7122.8274252993715,True
VS01,Square/Rect Tubes,11,25480338.34,311.78,309.62,2.1600000000000055,0.0,174748.03500000038,0.0,194640.97286538174,-0.055222736995049426,10,2.0,69764.18,84792.12,23034.036257694177,0.3301699562396373,0.6927962024504476,90.9090909090909,0.10663715400802186,-5.522273699504943,0.6379820672481014,0.7314050445852145,1.8569542253521125,1.7634408602150538,0.301202592173341,0.9819051603032114,-5.205210995929939,4.949009299696743,92.1575931255108,89.873606181518,100.0,100.0,95.11567948303275,[],197782.07125769457,776.2144623770901,False
VS01,Structural Steel,8,13498103.23,167.76999999999998,167.11,0.6599999999999933,0.0,55931.40909999936,0.0,663037.5192273431,0.032541789243673305,8,1.75,84998.275,82162.59,65435.228965096954,0.7698418463797878,0.39339572033140213,100.0,0.4606796998263346,3.2541789243673307,0.44108620089737804,0.719847459996229,1.670097508125677,1.7732793522267207,0.5639746445612224,1.472881334942787,0.2688512426626152,5.830589040692322,100.0,96.10216342239917,90.9181517333774,97.08813693937705,96.17270617681956,[],121366.63806509631,899.1384641017916,False
VS02,Angles & Channels,6,18789009.3,215.48,214.31,1.1699999999999982,0.0,90162.82440000062,0.0,2206326.906062479,0.10205659399474099,6,1.8333333333333333,79065.34,79318.01999999999,12456.9534164191,0.15755264464073765,0.5429738258771107,100.0,0.07351623565896954,10.205659399474099,0.5297961345368705,0.7113026493123651,1.6562099871959026,1.7416666666666667,0.13016876891732182,1.9498939866506468,4.508322737533145,4.309025190384596,99.36998863959286,96.56508078672499,100.0,26.4302786915349,84.23832252686609,[],102619.77781641972,546.1691788955563,False
VS02,CR Sheets,5,6169483.35,88.12,87.83,0.29000000000000314,0.0,21142.07449999993,0.0,-1268531.6570796778,-0.014759004692604393,3,1.6,68429.53,89930.96,12819.193531666477,0.18733423321286113,0.329096686336817,60.0,0.21329185154601063,-1.4759004692604394,0.42153979563269955,0.7884562788332824,1.521830985915493,1.6705426356589148,0.20572183018667758,1.1175594422605428,-1.9021908630282194,2.9946127341416036,100.0,100.0,100.0,100.0,100.0,[],33961.268031666405,550.4718321618683,False
